epoch,accuracy,loss,val_accuracy,val_loss
0,0.3108333349227905,1.580739974975586,0.40666666626930237,1.3545914888381958
1,0.7391666769981384,0.578473687171936,0.5133333206176758,2.144617795944214
2,0.8648809790611267,0.3159191310405731,0.647777795791626,1.242674708366394
3,0.9307143092155457,0.1895701289176941,0.9755555391311646,0.059005256742239
4,0.9536904692649841,0.14362402260303497,0.871666669845581,0.36231064796447754
5,0.9683333039283752,0.09639454632997513,0.9733333587646484,0.06462699174880981
6,0.977142870426178,0.07151663303375244,0.996666669845581,0.023907260969281197
7,0.9819047451019287,0.05765358358621597,0.9977777600288391,0.00813536997884512
8,0.9871428608894348,0.04715034365653992,0.9994444251060486,0.0017072426853701472
9,0.9847618937492371,0.04994894191622734,0.7566666603088379,2.475775718688965
10,0.9903571605682373,0.0323672853410244,0.9894444346427917,0.03145398199558258
11,0.9930952191352844,0.02391809970140457,1.0,0.00014533834473695606
12,0.9933333396911621,0.022905411198735237,0.9994444251060486,0.005061350762844086
13,0.9883333444595337,0.038702648133039474,0.9694444537162781,0.10138525813817978
14,0.9876190423965454,0.04177924990653992,0.9994444251060486,0.0023865350522100925
15,0.9913095235824585,0.033521853387355804,0.8349999785423279,0.9429839849472046
16,0.9942857027053833,0.02025144174695015,0.971666693687439,0.07256894558668137
17,0.9964285492897034,0.01461838185787201,0.9994444251060486,0.003399379551410675
18,0.9978571534156799,0.007270608562976122,1.0,1.2528499610198196e-05
19,0.9988095164299011,0.0035371556878089905,1.0,1.4147153706289828e-05
20,0.9997618794441223,0.0015294748591259122,1.0,4.69640917799552e-06
21,0.9986904859542847,0.005161223467439413,0.9944444298744202,0.010980178602039814
22,0.9965476393699646,0.014218935742974281,1.0,1.548895670566708e-05
23,0.999404788017273,0.002395949326455593,1.0,4.094149517186452e-06
24,0.9996428489685059,0.00209314888343215,1.0,5.544391569856089e-06
25,0.999404788017273,0.0028215472120791674,1.0,3.209840770068695e-06
26,0.999404788017273,0.0016812841640785336,1.0,8.664228516863659e-06
27,0.9995238184928894,0.001769795548170805,0.9933333396911621,0.020495599135756493
28,0.9995238184928894,0.0013196772197261453,1.0,3.2011946586862905e-06
29,0.9998809695243835,0.00039935341919772327,1.0,5.349823481992644e-07
30,1.0,0.0003682956739794463,1.0,3.653753424259776e-07
31,0.9996428489685059,0.0014899859670549631,1.0,2.6649857431948476e-07
32,0.9997618794441223,0.0014316444285213947,1.0,3.0736077860638034e-07
33,0.9997618794441223,0.0012828758917748928,1.0,6.041890401320416e-07
34,0.9998809695243835,0.0004915792960673571,1.0,7.95716459833784e-07
35,1.0,0.00024952643434517086,1.0,4.0246271737487405e-07
36,0.9997618794441223,0.0013097005430608988,1.0,3.959726200264413e-07
37,1.0,0.00018863906734623015,1.0,3.098111278632132e-07
38,1.0,0.0003075633430853486,1.0,1.6411132719440502e-07
39,1.0,0.00032953335903584957,1.0,1.494750279107393e-07
40,1.0,0.00015050265938043594,1.0,1.219907375116236e-07
41,1.0,0.00020329569815658033,1.0,1.2020258566280972e-07
42,0.9998809695243835,0.0004322287277318537,1.0,1.1901048679874293e-07
43,0.9998809695243835,0.0007021149503998458,1.0,1.1357986551274735e-07
44,1.0,0.0002171086089219898,1.0,9.556605107263749e-08
45,0.9998809695243835,0.00045486915041692555,1.0,1.0642734338262017e-07
46,1.0,0.00023900052474346012,1.0,9.159241187717271e-08
47,1.0,0.00019507597608026117,1.0,9.033409043013307e-08
48,1.0,7.259158883243799e-05,1.0,8.198944101422967e-08
49,1.0,8.379556675208732e-05,1.0,7.086325837235563e-08
50,1.0,0.00012254637840669602,1.0,6.708830824209144e-08
51,0.9998809695243835,0.00021902352455072105,1.0,7.079702868395543e-08
52,0.9998809695243835,0.0005197030841372907,1.0,7.033344218143611e-08
53,0.9998809695243835,0.00016882995259948075,1.0,6.218748893616066e-08
54,0.9997618794441223,0.0003125231887679547,1.0,6.457166534801217e-08
55,1.0,0.00016850077372509986,1.0,6.940625496554276e-08
56,1.0,9.34391500777565e-05,1.0,6.510148864435905e-08
57,0.9998809695243835,0.0003411100769881159,1.0,6.033311450437395e-08
58,0.9998809695243835,0.00028642243705689907,1.0,6.132651719781279e-08
59,1.0,0.0001468387636123225,1.0,6.059802615254739e-08
60,0.9998809695243835,0.00016688949835952371,1.0,5.7419107690748206e-08
61,0.9998809695243835,0.0005479361861944199,1.0,6.03331073989466e-08
62,1.0,0.00019333433010615408,1.0,6.185633338873231e-08
63,0.9998809695243835,0.0002878172672353685,1.0,5.880988496187456e-08
64,1.0,8.522778807673603e-05,1.0,5.7154199595288446e-08
65,1.0,0.00019063685613218695,1.0,5.7352881555061686e-08
66,1.0,0.00020873283210676163,1.0,5.609456010802205e-08
67,1.0,6.095685967011377e-05,1.0,5.695551763551521e-08
68,1.0,0.00015481583250220865,1.0,5.4836249319123453e-08
69,1.0,0.00017361003847327083,1.0,5.702174377120173e-08
70,1.0,0.00017537576786708087,1.0,5.7087973459601926e-08
71,0.9997618794441223,0.00038371398113667965,1.0,5.377660627914338e-08
72,1.0,0.00013085000682622194,1.0,5.5498514228702334e-08
73,1.0,0.0001554329792270437,1.0,5.569719618847557e-08
74,0.9998809695243835,0.0002800077199935913,1.0,5.7220425730974966e-08
75,1.0,0.00010314240353181958,1.0,5.7551563514834925e-08
76,0.9997618794441223,0.000753764237742871,1.0,5.410774406300334e-08
77,1.0,5.282860729494132e-05,1.0,5.43726521584631e-08
78,0.9998809695243835,0.00019689078908413649,1.0,5.4770016078009576e-08
79,1.0,6.594946171389893e-05,1.0,5.4770016078009576e-08
80,0.9998809695243835,0.0002653718402143568,1.0,5.33792423595969e-08
81,1.0,0.00014320149784907699,1.0,5.4902471902096295e-08
82,0.9998809695243835,0.0006630716379731894,1.0,5.596211138936269e-08
83,1.0,8.826751582091674e-05,1.0,5.4770016078009576e-08
84,1.0,7.139939407352358e-05,1.0,5.609456366073573e-08
85,1.0,8.898000669432804e-05,1.0,5.410774406300334e-08
86,1.0,0.00016264610167127103,1.0,5.410774406300334e-08
87,1.0,0.00010608447337290272,1.0,5.344546849528342e-08
88,1.0,0.00010434275463921949,1.0,5.2650740656190465e-08
89,0.9998809695243835,0.000368637265637517,1.0,5.629324562050897e-08
90,1.0,0.00011134741362184286,1.0,5.4571334118236337e-08
91,1.0,6.919869338162243e-05,1.0,5.4703793495036734e-08
92,1.0,7.326051854761317e-05,1.0,5.4637563806636535e-08
93,0.9998809695243835,0.00021164397185202688,1.0,5.635947530890917e-08
94,0.9998809695243835,0.0001723320601740852,1.0,5.609456010802205e-08
95,1.0,0.00014617254782933742,1.0,5.523360968595625e-08
96,0.9998809695243835,0.00028084751102142036,1.0,5.331301622391038e-08
97,1.0,0.00010630126780597493,1.0,5.649193113299589e-08
98,1.0,0.00014349819684866816,1.0,5.4505107982549816e-08
99,0.9998809695243835,0.00027452391805127263,1.0,5.5167376444842375e-08
